serum,virus,replicate,concentration,fraction infectivity
169C,HK19,1,0.025,0.039062354
169C,HK19,1,0.0125,0.175721301
169C,HK19,1,0.00625,0.539981033
169C,HK19,1,0.003125,0.869136833
169C,HK19,1,0.0015625,1.122068265
169C,HK19,1,0.00078125,1.194787227
169C,HK19,1,0.00039063,1.228438699
239C,HK19,1,0.05,0.043208133
239C,HK19,1,0.025,0.059154771
239C,HK19,1,0.0125,0.199010129
239C,HK19,1,0.00625,0.540384577
239C,HK19,1,0.003125,0.898904081
239C,HK19,1,0.0015625,1.127947948
239C,HK19,1,0.00078125,1.187200143
239C,HK19,1,0.00039063,1.247323773
81C,HK19,1,0.05,0.047040788
81C,HK19,1,0.025,0.047106804
81C,HK19,1,0.0125,0.194521179
81C,HK19,1,0.00625,0.524767458
81C,HK19,1,0.003125,0.889385242
81C,HK19,1,0.0015625,1.077451849
81C,HK19,1,0.00078125,1.10749113
81C,HK19,1,0.00039063,1.219349626
85C,HK19,1,0.05,0.048251099
85C,HK19,1,0.025,0.051447066
85C,HK19,1,0.0125,0.165285451
85C,HK19,1,0.00625,0.488327516
85C,HK19,1,0.003125,0.836989876
85C,HK19,1,0.0015625,1.099673591
85C,HK19,1,0.00078125,1.168901881
85C,HK19,1,0.00039063,1.177388406
135C,HK19,1,0.05,0.045951507
135C,HK19,1,0.025,0.047892541
135C,HK19,1,0.0125,0.1399248
135C,HK19,1,0.00625,0.416860031
135C,HK19,1,0.003125,0.768228786
135C,HK19,1,0.0015625,1.008927606
135C,HK19,1,0.00078125,1.069466449
135C,HK19,1,0.00039063,1.070086851
119C,HK19,1,0.05,0.104651632
119C,HK19,1,0.025,0.319084055
119C,HK19,1,0.0125,0.606545427
119C,HK19,1,0.00625,0.841629507
119C,HK19,1,0.003125,1.156330237
119C,HK19,1,0.0015625,1.208058624
119C,HK19,1,0.00078125,1.205453775
119C,HK19,1,0.00039063,1.180670572
217C,HK19,1,0.05,0.109533223
217C,HK19,1,0.025,0.304192468
217C,HK19,1,0.0125,0.554519644
217C,HK19,1,0.00625,0.755190573
217C,HK19,1,0.003125,1.092203319
217C,HK19,1,0.0015625,1.110092735
217C,HK19,1,0.00078125,1.096244393
217C,HK19,1,0.00039063,1.124570794
207C,HK19,1,0.05,0.118272977
207C,HK19,1,0.025,0.280435635
207C,HK19,1,0.0125,0.601369289
207C,HK19,1,0.00625,0.880874925
207C,HK19,1,0.003125,1.011177201
207C,HK19,1,0.0015625,1.026726831
207C,HK19,1,0.00078125,1.066376851
207C,HK19,1,0.00039063,1.083383258
210C,HK19,1,0.05,0.039121062
210C,HK19,1,0.025,0.045655788
210C,HK19,1,0.0125,0.147986986
210C,HK19,1,0.00625,0.420640356
210C,HK19,1,0.003125,0.839531996
210C,HK19,1,0.0015625,1.095651312
210C,HK19,1,0.00078125,1.286455645
210C,HK19,1,0.00039063,1.00767932
222C,HK19,1,0.05,0.040861534
222C,HK19,1,0.025,0.058844408
222C,HK19,1,0.0125,0.167747859
222C,HK19,1,0.00625,0.516008903
222C,HK19,1,0.003125,0.92032159
222C,HK19,1,0.0015625,1.10155204
222C,HK19,1,0.00078125,1.043119141
222C,HK19,1,0.00039063,1.004629377
219C,HK19,1,0.05,0.068669528
219C,HK19,1,0.025,0.210606938
219C,HK19,1,0.0125,0.536377972
219C,HK19,1,0.00625,0.956510573
219C,HK19,1,0.003125,1.119898904
219C,HK19,1,0.0015625,1.193930679
219C,HK19,1,0.00078125,1.001983426
219C,HK19,1,0.00039063,1.689995098
150C,HK19,1,0.05,0.040505528
150C,HK19,1,0.025,0.054435748
150C,HK19,1,0.0125,0.162837582
150C,HK19,1,0.00625,0.484889992
150C,HK19,1,0.003125,0.909209752
150C,HK19,1,0.0015625,1.085783706
150C,HK19,1,0.00078125,1.029534031
150C,HK19,1,0.00039063,2.115571047
68C,HK19,1,0.05,0.041098871
68C,HK19,1,0.025,0.095346622
68C,HK19,1,0.0125,0.18946486
68C,HK19,1,0.00625,0.558256999
68C,HK19,1,0.003125,0.975357867
68C,HK19,1,0.0015625,1.273169039
68C,HK19,1,0.00078125,1.324765657
68C,HK19,1,0.00039063,2.413049398
