biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename
SAMN41851543	libA_210730_PacBio_CCSs	PacBio CCSs linking variants to barcodes for A/HongKong/45/2019 HA deep mutational scanning for libA_210730_PacBio_CCSs	Synthetic-Long-Read	SYNTHETIC	Restriction Digest	single	PACBIO_SMRT	PacBio Sequel II	Restriction digest of plasmids carrying barcoded H3 HA variants	fastq	libA_210730_PacBio_CCSs.fastq.gz
SAMN41851543	libB_210730_PacBio_CCSs	PacBio CCSs linking variants to barcodes for A/HongKong/45/2019 HA deep mutational scanning for libB_210730_PacBio_CCSs	Synthetic-Long-Read	SYNTHETIC	Restriction Digest	single	PACBIO_SMRT	PacBio Sequel II	Restriction digest of plasmids carrying barcoded H3 HA variants	fastq	libB_210730_PacBio_CCSs.fastq.gz
SAMN41851543	libA_211026_PacBio_CCSs	PacBio CCSs linking variants to barcodes for A/HongKong/45/2019 HA deep mutational scanning for libA_211026_PacBio_CCSs	Synthetic-Long-Read	SYNTHETIC	Restriction Digest	single	PACBIO_SMRT	PacBio Sequel II	Restriction digest of plasmids carrying barcoded H3 HA variants	fastq	libA_211026_PacBio_CCSs.fastq.gz
SAMN41851543	libB_211026_PacBio_CCSs	PacBio CCSs linking variants to barcodes for A/HongKong/45/2019 HA deep mutational scanning for libB_211026_PacBio_CCSs	Synthetic-Long-Read	SYNTHETIC	Restriction Digest	single	PACBIO_SMRT	PacBio Sequel II	Restriction digest of plasmids carrying barcoded H3 HA variants	fastq	libB_211026_PacBio_CCSs.fastq.gz
SAMN41851543	libA_220218_PacBio_CCSs	PacBio CCSs linking variants to barcodes for A/HongKong/45/2019 HA deep mutational scanning for libA_220218_PacBio_CCSs	Synthetic-Long-Read	SYNTHETIC	Restriction Digest	single	PACBIO_SMRT	PacBio Sequel II	Restriction digest of plasmids carrying barcoded H3 HA variants	fastq	libA_220218_PacBio_CCSs.fastq.gz
SAMN41851543	libB_220218_PacBio_CCSs	PacBio CCSs linking variants to barcodes for A/HongKong/45/2019 HA deep mutational scanning for libB_220218_PacBio_CCSs	Synthetic-Long-Read	SYNTHETIC	Restriction Digest	single	PACBIO_SMRT	PacBio Sequel II	Restriction digest of plasmids carrying barcoded H3 HA variants	fastq	libB_220218_PacBio_CCSs.fastq.gz
