preselection_sample,library,virus_batch,replicate,postselection_sample,preselection_library_sample,postselection_library_sample,selection_name
221108_1_no-VEP_control_1,libA,1,1,221021_1_no-antibody_control_1,libA_221108_1_no-VEP_control_1,libA_221021_1_no-antibody_control_1,libA_221108_1_no-VEP_control_1_vs_221021_1_no-antibody_control_1
221108_1_no-VEP_control_1,libA,1,1,221027_1_no-antibody_control_1,libA_221108_1_no-VEP_control_1,libA_221027_1_no-antibody_control_1,libA_221108_1_no-VEP_control_1_vs_221027_1_no-antibody_control_1
221108_1_no-VEP_control_1,libA,1,1,221108_1_no-antibody_control_1,libA_221108_1_no-VEP_control_1,libA_221108_1_no-antibody_control_1,libA_221108_1_no-VEP_control_1_vs_221108_1_no-antibody_control_1
221108_1_no-VEP_control_1,libB,1,1,221108_1_no-antibody_control_1,libB_221108_1_no-VEP_control_1,libB_221108_1_no-antibody_control_1,libB_221108_1_no-VEP_control_1_vs_221108_1_no-antibody_control_1
